#name	chrom	txStart	name2
NM_002867	chr1	52373627	RAB3B
NM_002979	chr1	53392900	SCP2
NM_007051	chr1	50906934	FAF1
NM_015306	chr1	55532031	USP24
NM_001193617	chr1	53392900	SCP2
NM_001193599	chr1	53392900	SCP2
NM_001193600	chr1	53392900	SCP2
NM_001113411	chr1	59762624	FGGY
NM_018291	chr1	59762624	FGGY
NR_103473	chr1	59762683	FGGY
NM_020925	chr1	64936475	CACHD1
NM_001293274	chr1	64971596	CACHD1
NM_001017415	chr1	62901974	USP1
NR_045147	chr1	63906440	ITGB3BP
NM_001347145	chr1	63906440	ITGB3BP
NM_001198688	chr1	65991371	LEPR
NM_001017416	chr1	62901974	USP1
NM_002303	chr1	65886334	LEPR
NM_003368	chr1	62902382	USP1
NM_001347147	chr1	63915129	ITGB3BP
NM_014288	chr1	63906440	ITGB3BP
NM_001347148	chr1	63906440	ITGB3BP
NM_001198689	chr1	65991371	LEPR
NM_001198687	chr1	65991371	LEPR
NM_001145512	chr1	61547533	NFIA
NM_005595	chr1	61547979	NFIA
NM_001134673	chr1	61547979	NFIA
NM_001145511	chr1	61542945	NFIA
NM_001003679	chr1	65886334	LEPR
NM_001003680	chr1	65886334	LEPR
NM_001206739	chr1	63906440	ITGB3BP
NM_173808	chr1	71868624	NEGR1
NM_020794	chr1	70225857	LRRC7
NM_001330635	chr1	70032867	LRRC7
NM_001160011	chr1	76540388	ST6GALNAC3
NM_152996	chr1	76540388	ST6GALNAC3
NM_005482	chr1	77554666	PIGK
NM_012128	chr1	87012758	CLCA4
NR_024602	chr1	87012758	CLCA4
NM_032270	chr1	90098643	LRRC8C
NR_110682	chr1	89003195	PKN2-AS1
NM_001134445	chr1	85784167	DDAH1
NR_033998	chr1	95393583	LOC729970
NR_125991	chr1	96457623	LOC102723661
NM_001252271	chr1	93307716	FAM69A
NM_001252269	chr1	93307716	FAM69A
NM_001252273	chr1	93298285	FAM69A
NM_001252270	chr1	93307716	FAM69A
NM_001308253	chr1	94350755	GCLM
NM_002061	chr1	94350755	GCLM
NM_001006605	chr1	93307716	FAM69A
NM_014917	chr1	107682539	NTNG1
NM_001312688	chr1	107682539	NTNG1
NM_001113228	chr1	107690690	NTNG1
NM_001113226	chr1	107690690	NTNG1
NM_001330665	chr1	107683213	NTNG1
NR_136564	chr1	114239826	PHTF1
NM_001323044	chr1	114239826	PHTF1
NR_136566	chr1	114239826	PHTF1
NR_136565	chr1	114239826	PHTF1
NM_006608	chr1	114239823	PHTF1
NM_001323043	chr1	114239826	PHTF1
NM_001323042	chr1	114239826	PHTF1
NR_136567	chr1	114239826	PHTF1
NM_001323046	chr1	114239826	PHTF1
NM_001323047	chr1	114246445	PHTF1
NM_001323053	chr1	114248388	PHTF1
NR_136568	chr1	114246445	PHTF1
NM_001323051	chr1	114248388	PHTF1
NM_001323050	chr1	114246445	PHTF1
NM_001323052	chr1	114248388	PHTF1
NM_001323045	chr1	114239826	PHTF1
NM_006496	chr1	110091185	GNAI3
NM_001204269	chr1	111136201	KCNA2
NM_001323048	chr1	114246445	PHTF1
NM_002884	chr1	112162404	RAP1A
NM_175744	chr1	113243748	RHOC
NM_001291896	chr1	112162768	RAP1A
NM_001323049	chr1	114246445	PHTF1
NM_001323041	chr1	114239826	PHTF1
NM_001042679	chr1	113243748	RHOC
NM_001042678	chr1	113243748	RHOC
NM_001010935	chr1	112162404	RAP1A
NM_001200001	chr1	120477735	NOTCH2
NM_006784	chr1	118472371	WDR3
NM_024408	chr1	120454175	NOTCH2
NR_136328	chr1	148876039	LOC101927429
NM_020205	chr1	149912228	OTUD7B
NM_001277444	chr1	144614958	NBPF9
NM_001201325	chr1	145727665	PDZK1
NM_001278267	chr1	144146810	NBPF20
NR_102405	chr1	147574322	NBPF8
NR_102405	chr1	144614958	NBPF8
NR_104217	chr1	148250249	NBPF25P
NM_001302371	chr1	145293370	NBPF10
NM_002614	chr1	145727665	PDZK1
NM_001201326	chr1	145727665	PDZK1
NR_102404	chr1	147574322	NBPF8
NR_102404	chr1	144614958	NBPF8
NM_001039703	chr1	145293370	NBPF10
NM_001037675	chr1	144614958	NBPF9
NM_001037501	chr1	144614958	NBPF8
NM_001037501	chr1	147574322	NBPF8
NR_103461	chr1	154127779	TPM3
NM_015327	chr1	156219014	SMG5
NM_001278191	chr1	154127779	TPM3
NM_001278190	chr1	154127779	TPM3
NM_001278189	chr1	154127779	TPM3
NM_001278188	chr1	154127779	TPM3
NM_001323614	chr1	156219014	SMG5
NM_001323615	chr1	156219014	SMG5
NM_001323616	chr1	156219014	SMG5
NM_001323617	chr1	156219014	SMG5
NM_152263	chr1	154134288	TPM3
NR_002188	chr1	155183615	GBAP1
NM_153649	chr1	154127779	TPM3
NM_001043353	chr1	154127779	TPM3
NM_001043352	chr1	154127779	TPM3
NM_001043351	chr1	154127779	TPM3
NR_036683	chr1	165667986	LOC440700
NM_002585	chr1	164528596	PBX1
NM_001204961	chr1	164528596	PBX1
NM_001204963	chr1	164528596	PBX1
NM_021642	chr1	161475204	FCGR2A
NM_001136219	chr1	161475204	FCGR2A
NM_001278252	chr1	171810617	DNM3
NM_001136127	chr1	171810617	DNM3
NM_005092	chr1	173010359	TNFSF18
NM_001163629	chr1	170904611	MROH9
NM_025063	chr1	170904635	MROH9
NM_022093	chr1	175036993	TNN
NM_015569	chr1	171810617	DNM3
NM_021165	chr1	177140523	BRINP2
NM_032360	chr1	180257351	ACBD6
NM_201568	chr1	183441505	SMG7
NM_201569	chr1	183441505	SMG7
NM_003101	chr1	179262848	SOAT1
NM_170692	chr1	178062863	RASAL2
NM_001137669	chr1	182419255	RGSL1
NM_001174061	chr1	183441505	SMG7
NM_173156	chr1	183441505	SMG7
NM_001252511	chr1	179262848	SOAT1
NM_001252512	chr1	179262848	SOAT1
NR_045530	chr1	179262848	SOAT1
NM_001331007	chr1	183441505	SMG7
NM_000963	chr1	186640943	PTGS2
NR_135153	chr1	197122811	ZBTB41
NM_194314	chr1	197122813	ZBTB41
NM_133494	chr1	198126107	NEK7
NM_001167858	chr1	202317829	PPP1R12B
NM_002481	chr1	202317829	PPP1R12B
NR_120535	chr1	206557366	SRGAP2D
NM_001300952	chr1	206516199	SRGAP2
NM_001167857	chr1	202317829	PPP1R12B
NM_015326	chr1	206516199	SRGAP2
NM_001170637	chr1	206516199	SRGAP2
NM_001331029	chr1	202317829	PPP1R12B
NM_018664	chr1	212859758	BATF3
NM_206933	chr1	215796235	USH2A
NM_001243507	chr1	216676587	ESRRG
NM_001243505	chr1	216676587	ESRRG
NM_001170564	chr1	210501595	HHAT
NM_001243506	chr1	216676587	ESRRG
NM_018194	chr1	210502249	HHAT
NM_001243512	chr1	216676587	ESRRG
NM_001243509	chr1	216676587	ESRRG
NM_206594	chr1	216676587	ESRRG
NM_001243513	chr1	216676587	ESRRG
NM_206595	chr1	216676587	ESRRG
NM_001134285	chr1	216676587	ESRRG
NM_001170587	chr1	210502249	HHAT
NM_001170580	chr1	210502639	HHAT
NM_001170588	chr1	210502249	HHAT
NM_001122834	chr1	210501595	HHAT
NM_001243511	chr1	216676587	ESRRG
NM_001243510	chr1	216676587	ESRRG
NR_002753	chr1	220046618	RNU5F-1
NR_031644	chr1	218610974	MIR548F3
NM_004446	chr1	220141941	EPRS
NM_001373	chr1	225117355	DNAH14
NM_018230	chr1	229577043	NUP133
NR_034037	chr1	231727037	LINC00582
NM_145214	chr1	228581376	TRIM11
NR_028400	chr1	231664398	TSNAX-DISC1
NR_028394	chr1	231664398	TSNAX-DISC1
NR_028393	chr1	231664398	TSNAX-DISC1
NR_028397	chr1	231664398	TSNAX-DISC1
NR_028396	chr1	231664398	TSNAX-DISC1
NR_028395	chr1	231664398	TSNAX-DISC1
NR_028399	chr1	231664398	TSNAX-DISC1
NR_028398	chr1	231664398	TSNAX-DISC1
NR_027247	chr1	238025474	LOC100130331
NM_001282773	chr1	240938813	RGS7
NM_001282775	chr1	240938813	RGS7
NM_001282778	chr1	240938813	RGS7
NM_002924	chr1	240938813	RGS7
NM_000254	chr1	236958580	MTR
NM_001301365	chr1	235824330	LYST
NM_001291940	chr1	236958580	MTR
NM_001291939	chr1	236958580	MTR
NM_000081	chr1	235824330	LYST
NM_018012	chr1	245318286	KIF26B
NM_022743	chr1	245912641	SMYD3
NM_001167740	chr1	245912641	SMYD3
NM_032752	chr1	247460714	ZNF496
NM_001001918	chr1	248512076	OR14C36
NR_047519	chr1	762970	LINC01128
NR_047521	chr1	762970	LINC01128
NR_047523	chr1	762970	LINC01128
NR_047524	chr1	762970	LINC01128
NR_047525	chr1	763177	LINC01128
NM_017900	chr1	1309109	AURKAIP1
NM_023018	chr1	1682670	NADK
NM_001198993	chr1	1682670	NADK
NM_001198994	chr1	1682670	NADK
NM_033487	chr1	1570602	CDK11B
NM_033490	chr1	1570602	CDK11B
NM_033486	chr1	1570602	CDK11B
NM_001014980	chr1	1177825	C1QTNF12
NM_033489	chr1	1570602	CDK11B
NM_001787	chr1	1570602	CDK11B
NM_001291345	chr1	1570602	CDK11B
NM_001297605	chr1	2487803	TNFRSF14
NM_003820	chr1	2487803	TNFRSF14
NM_001242672	chr1	2572806	TTC34
NM_003036	chr1	2160133	SKI
NM_152492	chr1	3668964	CCDC27
NM_001320136	chr1	3773830	DFFB
NR_104222	chr1	3773830	DFFB
NM_001409	chr1	3404505	MEGF6
NR_135152	chr1	3773830	DFFB
NR_135151	chr1	3773830	DFFB
NR_135150	chr1	3773830	DFFB
NM_001320132	chr1	3773830	DFFB
NM_004402	chr1	3773830	DFFB
NM_001282669	chr1	3773830	DFFB
NM_018836	chr1	4715104	AJAP1
NM_001042478	chr1	4715104	AJAP1
NM_003636	chr1	6086072	KCNAB2
NM_001199863	chr1	6106173	KCNAB2
NM_001199862	chr1	6105980	KCNAB2
NM_001199861	chr1	6052357	KCNAB2
NM_001199860	chr1	6094347	KCNAB2
NM_001291594	chr1	5922867	NPHP4
NR_111987	chr1	5922867	NPHP4
NM_172130	chr1	6086072	KCNAB2
NM_001291593	chr1	5922867	NPHP4
NM_015102	chr1	5922867	NPHP4
NM_001265592	chr1	6526151	PLEKHG5
NM_007274	chr1	6324331	ACOT7
NM_181864	chr1	6324331	ACOT7
NM_001042663	chr1	6526151	PLEKHG5
NM_001242701	chr1	6845383	CAMTA1
NR_038934	chr1	6845383	CAMTA1
NM_198681	chr1	6526151	PLEKHG5
NM_001289861	chr1	7844488	PER3
NM_001289862	chr1	7844488	PER3
NM_001289863	chr1	7844488	PER3
NM_001289864	chr1	7844488	PER3
NM_016831	chr1	7844488	PER3
NM_001561	chr1	7975930	TNFRSF9
NM_001042681	chr1	8412463	RERE
NM_012102	chr1	8412463	RERE
NM_004285	chr1	9294862	H6PD
NM_024980	chr1	9164475	GPR157
NM_001282587	chr1	9299902	H6PD
NM_183416	chr1	10270763	KIF1B
NM_006048	chr1	10093040	UBE4B
NM_014944	chr1	9789078	CLSTN1
NM_015074	chr1	10270763	KIF1B
NM_001302883	chr1	9789078	CLSTN1
NM_020248	chr1	9908333	CTNNBIP1
NM_001012329	chr1	9908333	CTNNBIP1
NM_001009566	chr1	9789078	CLSTN1
NM_001105562	chr1	10093040	UBE4B
NM_001079843	chr1	10696665	CASZ1
NM_001170754	chr1	11006529	C1orf127
NM_001001998	chr1	11126669	EXOSC10
NM_002685	chr1	11126669	EXOSC10
NM_004565	chr1	10535002	PEX14
NM_004958	chr1	11166587	MTOR
NM_017766	chr1	10707262	CASZ1
NM_015378	chr1	12290095	VPS13D
NM_001281430	chr1	12123433	TNFRSF8
NM_020350	chr1	11796141	AGTRAP
NM_001127660	chr1	12040237	MFN2
NM_001243	chr1	12123433	TNFRSF8
NM_018156	chr1	12290095	VPS13D
NM_014874	chr1	12040237	MFN2
NM_001040197	chr1	11796141	AGTRAP
NM_001040196	chr1	11796141	AGTRAP
NM_001040195	chr1	11796141	AGTRAP
NM_001040194	chr1	11796141	AGTRAP
NM_001306072	chr1	13052393	PRAMEF26
NM_001310134	chr1	13052239	PRAMEF25
NM_001013630	chr1	12704565	AADACL4
NM_015209	chr1	14925212	KAZN
NM_201628	chr1	14925212	KAZN
NM_001018000	chr1	15250624	KAZN
NM_001018001	chr1	15256295	KAZN
NM_001017999	chr1	15272414	KAZN
NR_027136	chr1	15438310	TMEM51-AS1
NM_052929	chr1	15573767	FHAD1
NR_109898	chr1	15853307	DNAJC16
NM_001287811	chr1	15853307	DNAJC16
NM_015291	chr1	15853307	DNAJC16
NM_015001	chr1	16174358	SPEN
NM_018994	chr1	16573334	FBXO42
NR_026567	chr1	17017712	ESPNP
NM_007365	chr1	17393255	PADI2
NM_013358	chr1	17531620	PADI1
NM_017459	chr1	17300998	MFAP2
NM_002403	chr1	17300998	MFAP2
NM_001135248	chr1	17300998	MFAP2
NM_001135247	chr1	17300998	MFAP2
NM_017940	chr1	16888921	NBPF1
NR_137287	chr1	17866329	ARHGEF10L
NR_137288	chr1	17866329	ARHGEF10L
NM_018125	chr1	17866329	ARHGEF10L
NM_001011722	chr1	17907047	ARHGEF10L
NM_001319837	chr1	17907047	ARHGEF10L
NM_001328124	chr1	17944807	ARHGEF10L
NM_001319838	chr1	17944807	ARHGEF10L
NM_030812	chr1	18081807	ACTL8
NM_032880	chr1	18434239	IGSF21
NM_020765	chr1	19400999	UBR4
NM_001206541	chr1	19665266	CAPZB
NM_001206540	chr1	19665266	CAPZB
NM_001135254	chr1	18957499	PAX7
NM_013945	chr1	18957499	PAX7
NM_001313932	chr1	19700668	CAPZB
NM_001282162	chr1	19665266	CAPZB
NM_002584	chr1	18957499	PAX7
NM_004930	chr1	19665266	CAPZB
NM_001136265	chr1	19230773	IFFO2
NM_181719	chr1	20008705	TMCO4
NR_033887	chr1	20686293	LINC01141
NM_003760	chr1	21132784	EIF4G3
NM_001198801	chr1	21132784	EIF4G3
NM_001198802	chr1	21132784	EIF4G3
NM_001198803	chr1	21267737	EIF4G3
NM_000478	chr1	21835850	ALPL
NM_001177520	chr1	21835850	ALPL
NM_001127501	chr1	21835850	ALPL
NM_016287	chr1	21069170	HP1BP3
NM_001113348	chr1	21543739	ECE1
NM_001013693	chr1	22138757	LDLRAD2
NM_001083621	chr1	22778343	ZBTB40
NM_005529	chr1	22148724	HSPG2
NM_014870	chr1	22778343	ZBTB40
NM_001291860	chr1	22148724	HSPG2
NM_001791	chr1	22379119	CDC42
NM_044472	chr1	22379119	CDC42
NM_001330398	chr1	22778343	ZBTB40
NM_001039802	chr1	22379119	CDC42
NM_003196	chr1	23707401	TCEA3
NM_004091	chr1	23832919	E2F2
NM_001142546	chr1	23410515	LUZP1
NM_033631	chr1	23410515	LUZP1
NM_001322854	chr1	24739976	NIPAL3
NM_001322856	chr1	24742239	NIPAL3
NM_001322857	chr1	24742514	NIPAL3
NM_001322860	chr1	24742239	NIPAL3
NM_001322859	chr1	24742239	NIPAL3
NM_001322858	chr1	24742239	NIPAL3
NM_001322865	chr1	24742239	NIPAL3
NM_001322864	chr1	24742239	NIPAL3
NM_001322863	chr1	24742239	NIPAL3
NM_001322866	chr1	24742239	NIPAL3
NM_001322868	chr1	24742239	NIPAL3
NM_001322861	chr1	24742239	NIPAL3
NR_136507	chr1	24742239	NIPAL3
NR_136506	chr1	24742239	NIPAL3
NM_001322862	chr1	24742239	NIPAL3
NM_001322855	chr1	24742239	NIPAL3
NM_173065	chr1	24480646	IFNLR1
NM_173064	chr1	24480646	IFNLR1
NR_136508	chr1	24742239	NIPAL3
NM_170743	chr1	24480646	IFNLR1
NM_020448	chr1	24742244	NIPAL3
NM_001010980	chr1	24882566	NCMAP
NM_001330409	chr1	24742239	NIPAL3
NM_001282564	chr1	25757348	TMEM57
NM_018202	chr1	25757348	TMEM57
NM_001289010	chr1	25943958	MAN1C1
NM_138618	chr1	25688739	RHCE
NM_138617	chr1	25688739	RHCE
NM_138616	chr1	25688739	RHCE
NM_020485	chr1	25688739	RHCE
NM_020379	chr1	25943958	MAN1C1
NM_001330430	chr1	25688739	RHCE
NM_024674	chr1	26737258	LIN28A
NM_031286	chr1	26606212	SH3BGRL3
NM_002953	chr1	26856248	RPS6KA1
NM_001330441	chr1	26869602	RPS6KA1
NR_037576	chr1	27648635	TMEM222
NR_037577	chr1	27648635	TMEM222
NR_037580	chr1	27648635	TMEM222
NM_001201404	chr1	27730729	WASF2
NM_006990	chr1	27730729	WASF2
NM_032125	chr1	27648635	TMEM222
NM_001029882	chr1	27860755	AHDC1
NM_001048183	chr1	28696092	PHACTR4
NR_002909	chr1	28832454	SNHG3
NM_001135218	chr1	28929608	TAF12
NR_036473	chr1	28832454	SNHG3
NM_001048199	chr1	28832454	RCC1
NM_005644	chr1	28929608	TAF12
NR_030725	chr1	28832454	RCC1
NR_030726	chr1	28832454	RCC1
NM_005626	chr1	29474249	SRSF4
NM_001195001	chr1	29563027	PTPRU
NM_133178	chr1	29563027	PTPRU
NM_005704	chr1	29563027	PTPRU
NM_133177	chr1	29563027	PTPRU
NR_034182	chr1	31191618	MATN1-AS1
NM_002379	chr1	31184123	MATN1
NM_001195101	chr1	32372021	PTP4A2
NM_080391	chr1	32372021	PTP4A2
NM_001195100	chr1	32372021	PTP4A2
NM_001040441	chr1	33004745	ZBTB8A
NM_001291496	chr1	33004745	ZBTB8A
NR_111980	chr1	33004745	ZBTB8A
NM_153341	chr1	33402046	RNF19B
NM_022753	chr1	33283118	S100PBP
NM_001256121	chr1	33283042	S100PBP
NM_012316	chr1	32573643	KPNA6
NM_001161708	chr1	33145506	SYNC
NM_004964	chr1	32757707	HDAC1
NM_030786	chr1	33145506	SYNC
NR_135107	chr1	33290913	S100PBP
NR_135106	chr1	33290913	S100PBP
NM_001300826	chr1	33402046	RNF19B
NM_001127361	chr1	33402046	RNF19B
NR_125978	chr1	33815952	LOC101929464
NM_145238	chr1	33938231	ZSCAN20
NM_198040	chr1	33789223	PHC2
NR_038372	chr1	34334556	CSMD2-AS1
NM_001330488	chr1	33789223	PHC2
NM_001080418	chr1	35331036	DLGAP3
NM_024852	chr1	36396682	AGO3
NM_017629	chr1	36273827	AGO4
NM_005202	chr1	36560836	COL8A2
NM_005095	chr1	35734567	ZMYM4
NM_024874	chr1	35899090	KIAA0319L
NM_001294347	chr1	36560836	COL8A2
NM_178548	chr1	36038970	TFAP2E
NM_177422	chr1	36396682	AGO3
NM_001282546	chr1	36805219	STK40
NM_001282547	chr1	36805219	STK40
NM_032017	chr1	36805219	STK40
NM_000831	chr1	37261127	GRIK3
NM_024640	chr1	38268613	YRDC
NM_024700	chr1	38000049	SNIP1
NM_005540	chr1	38326368	INPP5B
NM_022157	chr1	39303868	RRAGC
NM_001271851	chr1	39303868	RRAGC
NM_001720	chr1	40222853	BMP8B
NM_181809	chr1	39957317	BMP8A
NM_012421	chr1	40627040	RLF
NM_001172220	chr1	41492870	SCMH1
NM_001172218	chr1	41492870	SCMH1
NR_024567	chr1	41154751	NFYC-AS1
NM_001172221	chr1	41492870	SCMH1
NM_001172219	chr1	41492870	SCMH1
NR_135092	chr1	41492870	SCMH1
NM_172163	chr1	41249683	KCNQ4
NM_012236	chr1	41492870	SCMH1
NM_004700	chr1	41249683	KCNQ4
NM_001031694	chr1	41492870	SCMH1
NM_001172222	chr1	41492870	SCMH1
NM_024503	chr1	41972035	HIVEP3
NM_001198851	chr1	42642209	FOXJ3
NM_001198852	chr1	42642209	FOXJ3
NM_014947	chr1	42642209	FOXJ3
NM_001198850	chr1	42642209	FOXJ3
NM_173642	chr1	42846467	RIMKLA
NM_001127714	chr1	41972035	HIVEP3
NR_038261	chr1	42312859	HIVEP3
NR_038260	chr1	42312859	HIVEP3
NM_001167965	chr1	43638000	CFAP57
NM_015284	chr1	43855555	SZT2
NM_001242750	chr1	43253660	TMEM269
NM_152498	chr1	43638000	CFAP57
NM_001253357	chr1	43766565	TIE1
NM_001195831	chr1	43638000	CFAP57
NM_005424	chr1	43766565	TIE1
NR_110056	chr1	44688266	ERI3-IT1
NM_001301700	chr1	44686741	ERI3
NM_001270462	chr1	44173203	ST3GAL3
NR_073016	chr1	44173203	ST3GAL3
NR_073023	chr1	44173203	ST3GAL3
NR_073020	chr1	44173203	ST3GAL3
NR_073019	chr1	44173203	ST3GAL3
NM_024066	chr1	44686741	ERI3
NM_001301699	chr1	44686741	ERI3
NM_001301698	chr1	44686741	ERI3
NM_001301701	chr1	44686741	ERI3
NM_174966	chr1	44173203	ST3GAL3
NM_174965	chr1	44173203	ST3GAL3
NM_174968	chr1	44173203	ST3GAL3
NM_174967	chr1	44173203	ST3GAL3
NM_174971	chr1	44173203	ST3GAL3
NM_174970	chr1	44173203	ST3GAL3
NM_174969	chr1	44173203	ST3GAL3
NM_001270466	chr1	44173203	ST3GAL3
NM_001270465	chr1	44173203	ST3GAL3
NM_006279	chr1	44173203	ST3GAL3
NM_014652	chr1	44412477	IPO13
NM_001270463	chr1	44173203	ST3GAL3
NM_001270464	chr1	44173203	ST3GAL3
NM_174963	chr1	44173203	ST3GAL3
NR_073018	chr1	44173203	ST3GAL3
NR_073017	chr1	44173203	ST3GAL3
NR_073021	chr1	44173203	ST3GAL3
NM_001270461	chr1	44173203	ST3GAL3
NM_001270460	chr1	44173203	ST3GAL3
NR_033827	chr1	44165408	KDM4A-AS1
NM_174964	chr1	44173203	ST3GAL3
NM_001270459	chr1	44173203	ST3GAL3
NM_001297655	chr1	45205489	KIF2C
NM_006845	chr1	45205489	KIF2C
NM_001297656	chr1	45212033	KIF2C
NM_001297657	chr1	45212033	KIF2C
NM_001261418	chr1	45316193	EIF2B3
NM_020365	chr1	45316193	EIF2B3
NM_001166588	chr1	45340200	EIF2B3
NM_007170	chr1	45809554	TESK2
NM_020883	chr1	45482075	ZSWIM5
NM_001320800	chr1	45809554	TESK2
NM_001324320	chr1	46269278	MAST2
NM_001319245	chr1	46269284	MAST2
NM_015112	chr1	46269284	MAST2
NM_001324321	chr1	46330019	MAST2
NM_001328651	chr1	46505811	PIK3R3
NM_001328650	chr1	46505811	PIK3R3
NM_001328652	chr1	46505811	PIK3R3
NM_001328653	chr1	46505811	PIK3R3
NM_001328654	chr1	46505811	PIK3R3
NM_003629	chr1	46505811	PIK3R3
NR_137329	chr1	46505811	PIK3R3
NM_001303428	chr1	46505811	PIK3R3
NM_001114172	chr1	46505811	PIK3R3
NM_001328649	chr1	46505811	PIK3R3
NM_001328648	chr1	46505811	PIK3R3
NM_001303427	chr1	46505811	PIK3R3
NR_024176	chr1	47023078	MKNK1
NM_017739	chr1	46654352	POMGNT1
NR_024174	chr1	47023078	MKNK1
NM_001290129	chr1	46654352	POMGNT1
NM_001303429	chr1	46505811	PIK3R3
NM_003684	chr1	47023078	MKNK1
NM_001290130	chr1	46654352	POMGNT1
NM_001243766	chr1	46654352	POMGNT1
NM_198973	chr1	47023078	MKNK1
NM_001135553	chr1	47023078	MKNK1
NM_001320289	chr1	47427035	CYP4X1
NM_178134	chr1	47533159	CYP4Z1
NR_002788	chr1	47308766	CYP4Z2P
NM_016308	chr1	47799468	CMPK1
NM_001136140	chr1	47799468	CMPK1
NR_046394	chr1	47799468	CMPK1
NR_026749	chr1	48567386	SKINT1L
NM_001286238	chr1	48761043	SPATA6
NM_001286239	chr1	48761043	SPATA6
NM_019073	chr1	48761043	SPATA6
NM_001294348	chr1	50575287	ELAVL4
NM_001144777	chr1	50513685	ELAVL4
NM_001144776	chr1	50569581	ELAVL4
NM_001324214	chr1	50575287	ELAVL4
NM_001324213	chr1	50575287	ELAVL4
NM_001324212	chr1	50574591	ELAVL4
